team,opponent,team_elo,opp_elo,win_probability,strength_diff
Czechia,South Korea,1740,1758,0.47,-18
Mexico,South Africa,1875,1528,0.93,347
Canada,Bosnia and Herzegovina,1788,1595,0.84,193
United States,Paraguay,1726,1833,0.49,-107
Australia,Turkey,1777,1911,0.32,-134
Brazil,Morocco,1991,1827,0.72,164
Haiti,Scotland,1548,1782,0.21,-234
Qatar,Switzerland,1421,1891,0.06,-470
Curaçao,Germany,1434,1932,0.05,-498
Ecuador,Ivory Coast,1938,1695,0.8,243
Japan,Netherlands,1906,1944,0.45,-38
Sweden,Tunisia,1712,1628,0.62,84
Belgium,Egypt,1893,1696,0.76,197
Cape Verde,Spain,1578,2155,0.03,-577
Iran,New Zealand,1772,1562,0.77,210
Saudi Arabia,Uruguay,1569,1892,0.13,-323
Algeria,Argentina,1760,2114,0.12,-354
Austria,Jordan,1830,1680,0.7,150
France,Senegal,2062,1867,0.75,195
Iraq,Norway,1618,1914,0.15,-296
Colombia,Uzbekistan,1982,1718,0.82,264
Croatia,England,1911,2021,0.35,-110
DR Congo,Portugal,1661,1986,0.13,-325
Ghana,Panama,1510,1730,0.22,-220
Bosnia and Herzegovina,Switzerland,1595,1891,0.15,-296
Canada,Qatar,1788,1421,0.94,367
Czechia,South Africa,1740,1528,0.77,212
Mexico,South Korea,1875,1758,0.78,117
Brazil,Haiti,1991,1548,0.93,443
Morocco,Scotland,1827,1782,0.56,45
Paraguay,Turkey,1833,1911,0.39,-78
United States,Australia,1726,1777,0.57,-51
Curaçao,Ecuador,1434,1938,0.05,-504
Germany,Ivory Coast,1932,1695,0.8,237
Japan,Tunisia,1906,1628,0.83,278
Netherlands,Sweden,1944,1712,0.79,232
Belgium,Iran,1893,1772,0.67,121
Cape Verde,Uruguay,1578,1892,0.14,-314
Egypt,New Zealand,1696,1562,0.68,134
Saudi Arabia,Spain,1569,2155,0.03,-586
Algeria,Jordan,1760,1680,0.61,80
Argentina,Austria,2114,1830,0.84,284
France,Iraq,2062,1618,0.93,444
Norway,Senegal,1914,1867,0.57,47
Colombia,DR Congo,1982,1661,0.86,321
Croatia,Panama,1911,1730,0.74,181
England,Ghana,2021,1510,0.95,511
Portugal,Uzbekistan,1986,1718,0.82,268
Bosnia and Herzegovina,Qatar,1595,1421,0.73,174
Brazil,Scotland,1991,1782,0.77,209
Canada,Switzerland,1788,1891,0.5,-103
Haiti,Morocco,1548,1827,0.17,-279
Mexico,Czechia,1875,1740,0.79,135
South Africa,South Korea,1528,1758,0.21,-230
Australia,Paraguay,1777,1833,0.42,-56
Curaçao,Ivory Coast,1434,1695,0.18,-261
Ecuador,Germany,1938,1932,0.51,6
Japan,Sweden,1906,1712,0.75,194
Netherlands,Tunisia,1944,1628,0.86,316
United States,Turkey,1726,1911,0.38,-185
Belgium,New Zealand,1893,1562,0.87,331
Cape Verde,Saudi Arabia,1578,1569,0.51,9
Egypt,Iran,1696,1772,0.39,-76
