player,country,position,price,adjusted_projection,std_fp_last_5,gem_score_adj
AHMED QASIM,Iraq,0,4.4,2.79,2.236067977499789,18.31435624858301
AIMAR SHER,Iraq,3,5.3,1.38,0.4472135954999579,-58.84827568833917
AKRAM AFIF,Qatar,0,5.9,3.24,1.6431676725154991,-4.101065571705661
ALEX SANDRO,Brazil,1,4.5,3.72,5.718391382198319,49.46406529460664
ALI ALHAMADI,Iraq,2,4.7,2.21,1.22474487139159,-19.287351689044513
ALI JASIM,Iraq,0,4.9,2.19,0.5477225575051659,-27.559387359246294
ALI YOUSIF,Iraq,1,4.2,2.18,2.7748873851023217,-4.4392523364486
ALISSON,Brazil,2,3.8,4.23,2.509980079602227,82.48356298964657
Aaron HICKEY,Scotland,1,4.3,2.21,2.949576240750524,-6.416731742952869
Abbosbek FAYZULLAEV,Uzbekistan,0,6.2,3.16,2.408318915758459,-14.727813184875444
Abde EZZALZOULI,Morocco,0,5.3,3.41,3.71483512420134,15.050255686827725
Abdoulaye Seck,Senegal,1,3.8,3.8,4.03732584763727,76.54230798297101
Abdukodir KHUSANOV,Uzbekistan,1,4.3,3.94,3.2093613071762435,59.471118724336854
Abdul MUMIN,Ghana,1,3.7,2.24,0.547722557505168,17.093231226541047
Abdulla ABDULLAEV,Uzbekistan,0,4.2,2.44,1.7888543819998317,9.045393858477965
Achraf HAKIMI,Morocco,1,6.0,3.99,4.024922359499618,11.959971786281088
Adam AROUS,Tunisia,1,3.6,3.02,2.9495762407505257,57.03516638536917
Adam HLOZEK,Czechia,0,6.5,2.47,0.4472135954999594,-52.8232612036174
Adrien RABIOT,France,3,6.4,3.57,2.2360679774997902,-4.540015618308686
Aiden ONEILL,Australia,3,5.4,2.04,0.4472135954999571,-46.652769730710126
Aissa MANDI,Algeria,1,3.9,2.92,2.6832815729997477,42.92641761342168
Ajdin HRUSTIC,Australia,3,5.7,2.03,0.0,-55.610625488072145
Alan MINDA,Ecuador,0,4.9,2.37,1.224744871391589,-18.814394034813716
Aleksandar PAVLOVIC,Germany,3,5.5,2.37,1.7320508075688772,-35.189057107589996
Alessandro CIRCATI,Australia,1,3.9,2.53,3.361547262794323,24.435095851071868
Alessandro SCHOEPF,Austria,3,5.3,2.49,0.4472135954999579,-24.669370481396584
Alex ARCE,Paraguay,1,4.9,2.36,0.8366600265340749,-19.54870645136912
Alex BAENA,Spain,0,6.0,2.2,1.7320508075688774,-55.19623649142252
Alexander BERNHARDSSON,Sweden,0,4.9,4.16,5.215361924162119,42.267047887749705
Alexander Isak,Sweden,0,8.0,3.79,2.6076809620810586,-10.78796886414591
Alexander NUEBEL,Germany,2,4.7,2.59,0.8944271909999023,-1.1965639720885761
Alexander PRASS,Austria,3,4.3,1.9,0.4472135954999589,-17.698440688213218
Alexander SCHLAGER,Austria,2,4.6,2.76,1.3038404810405295,11.123006776330712
Alexander SORLOTH,Norway,0,6.8,2.64,4.722287581247039,-47.977177116658694
Alexandr SOJKA,Czechia,3,4.5,1.67,0.0,-30.308965413003506
Alexis MAC ALLISTER,Argentina,3,6.6,3.2,2.949576240750525,-19.929087840390963
Alexis SAELEMAEKERS,Belgium,3,5.7,2.39,0.5477225575051662,-40.65735446003475
Alfie JONES,Canada,1,3.8,3.72,3.361547262794322,75.40746152102174
Ali ABDI,Tunisia,1,4.1,2.87,4.722287581247038,33.71035594629316
Alidu SEIDU,Ghana,1,3.9,2.92,3.0822070014844876,42.92641761342168
Alistair JOHNSTON,Canada,1,4.0,3.65,4.024922359499622,65.31664861324533
Alphonso DAVIES,Canada,1,4.9,2.66,4.159326868617084,-4.9959694687255976
Alvaro FIDALGO,Mexico,3,6.4,2.67,0.547722557505166,-40.921858074917495
Amadou ONANA,Belgium,3,5.9,2.75,0.5477225575051662,-25.663148348741714
Amar DEDIC,Bosnia and Herzegovina,1,4.3,2.77,2.774887385102321,20.88633901806182
Amar MEMIC,Bosnia and Herzegovina,3,4.7,2.24,0.4472135954999579,-18.486283598256797
Amine GOUIRI,Algeria,0,6.2,2.92,2.6832815729997423,-26.07627780436809
Amir HADZIAHMETOVIC,Bosnia and Herzegovina,3,5.5,2.18,0.5477225575051662,-44.668362848577985
Amir MURILLO,Panama,1,5.0,2.75,1.516575088810303,-4.4367332544021
Anass SALAH EDDINE,Morocco,1,3.9,1.72,0.8366600265340649,-6.539536992719855
Andreas SCHJELDERUP,Norway,0,6.2,4.04,3.3166247903554,6.967780940625232
Andres ANDRADE,Panama,1,3.7,2.43,1.9493588689617924,26.63929264176134
Andres CUBAS,Paraguay,3,4.7,2.03,0.5477225575051662,-26.163186134972417
Andres GOMEZ,Colombia,0,4.9,2.57,1.7888543819998317,-8.400508854573395
Andy ROBERTSON,Scotland,1,5.0,3.01,4.39317652729776,7.712799455878276
Angelo PRECIADO,Ecuador,1,4.3,3.1,6.06630035524124,35.50583167493766
Angelo Stiller,Germany,3,5.8,1.99,0.0,-57.55409728694865
Angus Gunn,Scotland,2,3.6,2.47,1.1401754250991392,30.59991938937451
Anis HADJ MOUSSA,Algeria,0,5.3,3.31,2.68328157299975,12.246517369070716
Anis SLIMANE,Tunisia,3,5.3,2.17,0.4472135954999579,-41.22477769100939
Anthony ELANGA,Sweden,0,5.8,2.95,0.5477225575051659,-13.628863642088831
Anthony GORDON,England,0,7.0,4.37,3.1304951684997064,2.1449983625966524
Anthony RALSTON,Scotland,1,3.8,2.05,3.049590136395382,6.916139758671941
Anthony VALENCIA,Ecuador,0,4.2,3.5,3.361547262794322,53.97196261682244
Antoine MENDY,Senegal,1,3.7,2.85,2.3874672772626644,47.734085699171224
Antoine SEMENYO,Ghana,0,7.2,4.68,2.949576240750525,3.673451394311911
Antonio NUSA,Norway,0,6.1,2.73,3.8340579025361623,-32.25810514648463
Antonio RUEDIGER,Germany,1,5.5,2.76,3.2710854467592245,-15.696400231755547
Antonio SANABRIA,Paraguay,0,6.5,2.44,0.5477225575051662,-53.75784064286974
Ao TANAKA,Japan,3,5.0,2.45,0.0,-18.789203214348696
Ardon JASHARI,Switzerland,3,5.2,1.61,0.5477225575051656,-53.82018792352068
Arjany MARTHA,Curaçao,0,,1.25,0.4472135954999579,
Armando OBISPO,Curaçao,1,3.7,1.41,0.7071067811865476,-4.201828853565761
Armin GIGOVIC,Bosnia and Herzegovina,3,5.1,1.93,0.5477225575051704,-43.72055822858151
Arthur THEATE,Belgium,1,4.5,3.32,0.8366600265340728,37.848577978184736
Assane DIAO,Senegal,0,4.9,3.13,1.9493588689617924,17.76771544449202
Augustine BOAKYE,Ghana,0,4.9,2.72,0.7071067811865476,-1.2576517117162567
Aurele AMENDA,Switzerland,1,3.7,1.87,0.8366600265340709,4.075874751240648
Aurelien TCHOUAMENI,France,3,6.5,2.92,0.5477225575051676,-30.860644381187484
Awer MABIL,Australia,0,5.6,1.93,0.4472135954999579,-56.052094616721675
Axel WITSEL,Belgium,3,5.0,2.31,0.5477225575051662,-26.532861425296627
Ayase UEDA,Japan,0,7.0,5.21,4.658325879540846,7.0181625815552735
Aymeric LAPORTE,Spain,1,5.5,2.24,2.828427124746191,-41.3973348111948
Ayoub El Kaabi,Morocco,0,5.9,3.82,5.856620185738529,12.454341637907149
Ayumu SEKO,Japan,1,3.8,2.94,1.224744871391592,48.37141345693629
Ayyoub BOUADDI,Morocco,3,5.5,2.07,0.8944271909999159,-48.006146560193464
Aziz BEHICH,Australia,1,3.8,2.71,3.271085446759225,37.08970451167594
Azzedine OUNAHI,Morocco,3,6.2,2.32,0.0,-55.582285815049005
BERNARDO SILVA,Portugal,3,7.8,2.31,0.5477225575051659,-69.45738972718343
BREMER,Brazil,1,4.3,4.7,2.2360679774997885,67.34828828374938
BRUNO FERNANDES,Portugal,3,8.5,3.25,1.949358868961793,-27.353452401944736
BRUNO GUIMARAES,Brazil,3,6.8,3.54,1.516575088810312,-10.393732523868309
Bamba DIENG,Senegal,0,4.9,3.26,2.4899799195977463,22.64087966345064
Bara Sapoko NDIAYE,Senegal,3,4.5,1.57,0.5773502691896258,-31.51056754918508
Bart Verbruggen,Netherlands,2,4.7,3.68,3.3615472627943235,42.12786860468046
Ben GANNON-DOAK,Scotland,0,4.9,1.77,0.0,-39.9091870922236
Ben OLD,New Zealand,1,4.2,1.6,1.095445115010332,-20.193591455273697
Ben WAINE,New Zealand,0,4.2,4.86,2.588435821108957,72.79706275033378
Benjamin ASARE,Ghana,3,3.8,3.07,1.51657508881031,53.11106632743029
