tm_id,tm_name,understat_id,understat_name
59631,Nacer Chadli,648,Nacer Chadli
63342,Leroy Fer,711,Leroy Fer
14940,Razvan Rat,2169,Razvan Rat
48974,Luiz Adriano,1127,Luiz Adriano
55735,Henrikh Mkhitaryan,317,Henrikh Mkhitaryan
75615,Douglas Costa,393,Douglas Costa
158810,Oscar Hiljemark,1284,Oscar Hiljemark
72496,Roland Gigolaev,2835,Roland Gigolaev
182381,Quincy Promes,2815,Quincy Promes
36235,Petar Zanev,2873,Petar Zanev
46504,Eric Bicfalvi,5483,Eric Bicfalvi
73185,Lucas Pérez,1700,Lucas Pérez
137939,Tornike Okriashvili,5466,Tornike Okriashvili
94922,Bogdan Butko,2872,Bogdan Butko
4678,Markus Berger,4617,Markus Berger
64711,Pablo Fontanello,2802,Pablo Fontanello
69913,Kyrylo Kovalchuk,5491,Kyrylo Kovalchuk
91450,Oleg Mishchenko,2848,Oleg Mishchenko
104331,Lukman Haruna,3157,Lukman Haruna
16746,Niko Kranjcar,4397,Niko Kranjcar
48740,Milos Ninkovic,4714,Milos Ninkovic
64308,Brown Ideye,1008,Brown Ideye
69015,Andriy Yarmolenko,6274,Andriy Yarmolenko
91931,Denys Boyko,5059,Denys Boyko
105362,Adolphe Teikeu,4557,Adolphe Teikeu
206717,Eduard Sobol,11342,Eduard Sobol
60790,Toni Sunjic,57,Toni Sunjic
85430,Jaba Lipartia,5891,Jaba Lipartia
46007,Ronnie Schwartz,4784,Ronnie Schwartz
15368,Vyacheslav Malafeev,3098,Vyacheslav Malafeev
15647,Vladimir Bystrov,2934,Vladimir Bystrov
15650,Igor Denisov,2749,Igor Denisov
20587,Nicolas Lombaerts,3057,Nicolas Lombaerts
29056,César Navas,2769,César Navas
38799,Oleg Kuzmin,2963,Oleg Kuzmin
40254,Viktor Faizulin,3179,Viktor Faizulin
42678,Salvatore Bocchetti,2810,Salvatore Bocchetti
44136,Domenico Criscito,3065,Domenico Criscito
44367,Roman Eremenko,2884,Roman Eremenko
45491,Aleksandr Bukharov,2778,Aleksandr Bukharov
56637,Vladimir Dyadyun,2974,Vladimir Dyadyun
57723,Iván Marcano,6965,Iván Marcano
7252,Aleksandr Ryazantsev,2794,Aleksandr Ryazantsev
18091,Derek Boateng,4137,Derek Boateng
54375,Giuliano,5467,Giuliano
25758,Jaba Kankava,3241,Jaba Kankava
18006,Michael Krohn-Dehli,2443,Michael Krohn-Dehli
87162,Simon Makienok,3841,Simon Makienok
48015,Lukas Hradecky,281,Lukas Hradecky
52117,Marvin Pourié,3148,Marvin Pourie
91469,Kian Hansen,4702,Kian Hansen
95732,Martin Braithwaite,3211,Martin Braithwaite
102043,Sly,2907,Sly
102045,Izunna Uzochukwu,3141,Izunna Uzochukwu
124983,Bryan Oviedo,598,Bryan Oviedo
20313,Jesper Juelsgaard,4711,Jesper Juelsgaard
21338,Sölvi Ottesen,4615,Sölvi Ottesen
46478,Ragnar Sigurdsson,2918,Ragnar Sigurdsson
48870,Jonas Lössl,3468,Jonas Lössl
107775,Frederik Rönnow,7048,Frederik Rönnow
129085,Jores Okore,676,Jores Okore
90024,Alfred Finnbogason,2655,Alfred Finnbogason
114728,Mamuka Kobakhidze,3041,Mamuka Kobakhidze
40633,Milan Badelj,1430,Milan Badelj
51471,Mateo Kovacic,2254,Mateo Kovacic
24131,Vladimir Gabulov,2744,Vladimir Gabulov
4257,Samuel Eto'o,3814,Samuel Eto'o
49485,Rasim Tagirbekov,3155,Rasim Tagirbekov
50355,Fedor Smolov,2925,Fedor Smolov
59187,Oleg Shatov,3062,Oleg Shatov
136397,Giorgi Chanturia,5412,Giorgi Chanturia
52119,Patrick van Aanholt,730,Patrick van Aanholt
79027,Davy Pröpper,6050,Davy Pröpper
81808,Wilfried Bony,622,Wilfried Bony
215114,Thomas Foket,7151,Thomas Foket
88257,Juhani Ojala,2865,Juhani Ojala
49500,Roberto Rosales,2331,Roberto Rosales
106675,Kirill Panchenko,2887,Kirill Panchenko
117808,Yuri Kuleshov,4625,Yuri Kuleshov
119223,Ruslan Mukhametshin,3036,Ruslan Mukhametshin
119224,Rustem Mukhametshin,4550,Rustem Mukhametshin
137206,Magomed Ozdoev,2968,Magomed Ozdoev
15076,Aleksandr Samedov,2710,Aleksandr Samedov
207518,Miroslav Lobantsev,3004,Miroslav Lobantsev
28937,Roman Shishkin,2704,Roman Shishkin
34393,Vedran Corluka,2705,Vedran Corluka
48526,Roman Kontsedalov,2735,Roman Kontsedalov
55336,Denis Glushakov,2814,Denis Glushakov
57631,David Yurchenko,2937,David Yurchenko
69011,Pavel Stepanets,4551,Pavel Stepanets
70212,Taras Burlak,2993,Taras Burlak
120630,Emmanuel Emenike,538,Emmanuel Emenike
145919,Arsen Khubulov,2733,Arsen Khubulov
16690,Diniyar Bilyaletdinov,2981,Diniyar Bilyaletdinov
21333,Aiden McGeady,994,Aiden McGeady
26591,Kirill Kombarov,3128,Kirill Kombarov
34542,Marek Suchy,7808,Marek Suchy
38539,Ari,2930,Ari
48067,Artem Dzyuba,3063,Artem Dzyuba
63170,Pavel Yakovlev,2995,Pavel Yakovlev
67917,Rafael Carioca,4693,Rafael Carioca
14937,Stipe Pletikosa,2324,Stipe Pletikosa
15077,Aleksandr Sheshukov,2716,Aleksandr Sheshukov
15570,Igor Akinfeev,2876,Igor Akinfeev
168337,Ahmed Musa,1681,Ahmed Musa
36688,Pontus Wernbloom,2882,Pontus Wernbloom
46180,Zoran Tosic,2883,Zoran Tosic
51164,Aleksandrs Cauna,3094,Aleksandrs Cauna
66521,Keisuke Honda,1124,Keisuke Honda
69683,Alan Dzagoev,2881,Alan Dzagoev
75287,Seydou Doumbia,776,Seydou Doumbia
117802,Vladimir Rykov,3053,Vladimir Rykov
1331,Kevin Kuranyi,255,Kevin Kurányi
24118,Ruslan Adzhindzhal,4607,Ruslan Adzhindzhal
24654,Ilya Maksimov,2945,Ilya Maksimov
3321,Luke Wilkshire,3010,Luke Wilkshire
35004,Balázs Dzsudzsák,3187,Balázs Dzsudzsák
37549,Anton Shunin,2758,Anton Shunin
48521,Aleksandr Belozerov,4632,Aleksandr Belozerov
52089,Gia Grigalava,5368,Gia Grigalava
57015,Aleksandr Kharitonov,6789,Aleksandr Kharitonov
89589,Aleksandr Sapeta,2796,Aleksandr Sapeta
129588,Dennis Praet,1234,Dennis Praet
26721,Lucas Biglia,1589,Lucas Biglia
31952,Guillaume Gillet,3403,Guillaume Gillet
44624,Dieumerci Mbokani,795,Dieumerci Mbokani
52746,Nill De Pauw,3702,Nill de Pauw
194947,Aleksey Evseev,3136,Aleksey Evseev
24237,Martin Jakubko,4593,Martin Jakubko
25889,Ivan Cherenchikov,3093,Ivan Cherenchikov
25918,Zahari Sirakov,4591,Zahari Sirakov
49676,Nikita Burmistrov,2986,Nikita Burmistrov
9786,Georgi Peev,3152,Georgi Peev
15597,Artur Tlisov,3107,Artur Tlisov
15743,Vladislav Kulik,3108,Vladislav Kulik
15796,Igor Lolo,4582,Igor Lolo
47152,Gigel Bucur,2740,Gigel Bucur
53331,Maksim Zhavnerchik,4667,Maksim Zhavnerchik
64667,Igor Armas,2727,Igor Armas
158865,Magomed Mitrishev,2867,Magomed Mitrishev
16756,Oleg Ivanov,2857,Oleg Ivanov
25921,Roman Vorobjov,5429,Roman Vorobjov
36812,Blagoy Georgiev,3102,Blagoy Georgiev
38005,Marcin Komorowski,3182,Marcin Komorowski
51274,Rizvan Utsiev,2850,Rizvan Utsiev
59597,Maciej Rybus,2856,Maciej Rybus
98557,Artem Deljkin,5506,Artem Deljkin
122088,Artem Gromov,5502,Artem Gromov
43848,Miguel Veloso,1098,Miguel Veloso
15590,Ruslan Nakhushev,3030,Ruslan Nakhushev
217923,Khyzyr Appaev,5513,Khyzyr Appaev
36212,Alan Kasaev,2893,Alan Kasaev
39280,Yura Movsisyan,3127,Yura Movsisyan
44022,Nukri Revishvili,3027,Nukri Revishvili
46635,Igor Smolnikov,3055,Igor Smolnikov
69001,Giedrius Arlauskis,949,Giedrius Arlauskis
84483,Aleksandr Erokhin,2772,Aleksandr Erokhin
94807,Ognjen Vranjes,2455,Ognjen Vranjes
55759,Arnór Smárason,4544,Arnor Smárason
79470,Mike Havenaar,4223,Mike Havenaar
112930,Benito Raman,7059,Benito Raman
138335,Jakob Haugaard,870,Jakob Haugaard
151282,Ravil Netfullin,10648,Ravil Netfullin
38802,Pavel Mamaev,2924,Pavel Mamaev
70295,Igor Picusceac,4592,Igor Picusceac
76075,Sekou Oliseh,4687,Sekou Oliseh
104201,Maksim Kanunnikov,2969,Maksim Kanunnikov
34396,Marko Lomic,3031,Marko Lomic
97541,Artur Yusupov,3067,Artur Yusupov
50577,Pierre Bengtsson,41,Pierre Bengtsson
33343,Danijel Milicevic,6478,Danijel Milicevic
111061,Alassane També,3818,Alassane Tambe
159098,Brecht Dejaegere,10798,Brecht Dejaegere
44059,Ervin Zukanovic,1497,Ervin Zukanovic
38388,Vadis Odjidja-Ofoe,823,Vadis Odjidja-Ofoe
62941,Jordi Figueras,2582,Jordi Figueras
96454,Maxime Lestienne,3820,Maxime Lestienne
113707,Rémy Cabella,3390,Rémy Cabella
127160,Benjamin Stambouli,3290,Benjamin Stambouli
17965,Hugo Lloris,637,Hugo Lloris
187847,Yassine Benzia,3366,Yassine Benzia
18909,Jimmy Briand,3477,Jimmy Briand
18912,Yoann Gourcuff,3229,Yoann Gourcuff
22386,Daniel Congré,3338,Daniel Congré
22388,Bafétimbi Gomis,717,Bafétimbi Gomis
23938,Geoffrey Jourdren,3703,Geoffrey Jourdren
33914,Mouhamadou Dabo,3437,Mouhamadou Dabo
5303,Souleymane Camara,3590,Souleymane Camara
5668,Anthony Réveillère,4388,Anthony Réveillere
57449,Jamel Saihi,3341,Jamel Saihi
57480,Mapou Yanga-Mbiwa,3272,Mapou Yanga-Mbiwa
57515,Aly Cissokho,666,Aly Cissokho
60542,Maxime Gonalons,3274,Maxime Gonalons
6803,Henri Bedimo,3273,Henri Bedimo
85863,Gueïda Fofana,3284,Gueida Fofana
93678,Gaëtan Charbonnier,3243,Gaëtan Charbonnier
93720,Alexandre Lacazette,3277,Alexandre Lacazette
98543,Aslan Dudiev,3034,Aslan Dudiev
127202,Matz Sels,6903,Matz Sels
111005,Frédéric Bulot,3664,Frédéric Bulot
149551,Jonathan Delaplace,3668,Jonathan Delaplace
22338,Laurent Ciman,7146,Laurent Ciman
47893,William Vainqueur,1944,William Vainqueur
77383,Eiji Kawashima,5678,Eiji Kawashima
19108,Nadson,2991,Nadson
50201,Christian Benteke,606,Christian Benteke
63846,Anele Ngcongca,3436,Anele Ngcongca
48510,Pavel Golyshev,5396,Pavel Golyshev
