country_id,country_name,country_code,confederation,total_clubs,total_players,average_age,url
10,Armenia,ARM1,europa,10,265,24.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/10
100,North Macedonia,MAZ1,europa,12,283,25.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/100
103,Malaysia,MYS1,asien,13,399,28.3,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/103
106,Malta,MT1N,europa,12,299,26.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/106
107,Morocco,MAR1,afrika,16,499,27.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/107
11,Ethiopia,ETP1,afrika,20,652,25.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/11
110,Mexico,MEX1,amerika,18,482,26.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/110
112,Moldova,MO1N,europa,8,215,23.4,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/112
116,Myanmar,MYA1,asien,12,383,26.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/116
12,Australia,AUS1,asien,12,377,24.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/12
120,New Zealand,NNL1,asien,12,318,23.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/120
121,Nicaragua,CNIC,amerika,34,467,27.5,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/121
122,Netherlands,NL1,europa,18,497,25.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/122
124,Nigeria,NPFL,afrika,20,920,25.2,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/124
125,Norway,NO1,europa,16,418,24.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/125
126,Oman,OM1L,asien,14,511,27.8,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/126
127,Austria,A1,europa,12,343,24.9,https://www.transfermarkt.co.uk/wettbewerbe/national/wettbewerbe/127
