name,full_name,position,price
Aït-Nouri,Rayan Aït-Nouri,Defender,4.9
Bensebaini,Ramy Bensebaini,Defender,4.4
Mandi,Aïssa Mandi,Defender,3.9
Belaïd,Zinéddine Belaïd,Defender,3.7
Belghali,Rafik Belghali,Defender,3.5
Abada,Achref Abada,Defender,3.5
Amoura,Mohammed Amoura,Forward,6.2
Gouiri,Amine Gouiri,Forward,6.2
Mahrez,Riyad Mahrez,Midfielder,6.5
Maza,Ibrahim Maza,Forward,5.4
Hadj Moussa,Anis Hadj Moussa,Forward,5.3
Ghedjemis,Farès Ghedjemis,Forward,4.4
Benbouali,Ahmed Benbouali,Forward,4.2
Zidane,Luca Zidane,Goalkeeper,3.8
Mastil,Melvin Mastil,Goalkeeper,3.5
Boulbina,Adil Boulbina,Midfielder,4
Titraoui,Yacine Titraoui,Midfielder,4.7
Zerrouki,Ramiz Zerrouki,Midfielder,5.3
Boudaoui,Hicham Boudaoui,Midfielder,5.5
Aouar,Houssem Aouar,Midfielder,6
Chaïbi,Farès Chaïbi,Midfielder,6.2
Romero,Cristian Romero,Defender,4.9
Molina,Nahuel Molina,Defender,4.4
Otamendi,Nicolás Otamendi,Defender,4.4
Tagliafico,Nicolás Tagliafico,Defender,4.3
Messi,Lionel Messi,Forward,10
Alvarez,Julián Alvarez,Forward,8.6
Simeone,Giuliano Simeone,Midfielder,5.6
González,Nico González,Midfielder,5.6
López,José Manuel López,Forward,5.3
Martínez,Emiliano Martínez,Goalkeeper,5
Rulli,Gerónimo Rulli,Goalkeeper,4.5
Musso,Juan Musso,Goalkeeper,4.3
Paredes,Leandro Paredes,Midfielder,5.6
De Paul,Rodrigo De Paul,Midfielder,5.9
Paz,Nico Paz,Midfielder,5.9
Barco,Valentín Barco,Midfielder,6.2
Palacios,Exequiel Palacios,Midfielder,6
Almada,Thiago Almada,Midfielder,6.5
Mac Allister,Alexis Mac Allister,Midfielder,6.6
Fernández,Enzo Fernández,Midfielder,7.5
Bos,Jordan Bos,Defender,4
Circati,Alessandro Circati,Defender,3.9
Burgess,Cameron Burgess,Defender,3.8
Degenek,Milos Degenek,Defender,3.8
Behich,Aziz Behich,Defender,3.8
Geria,Jason Geria,Defender,3.7
Trewin,Kai Trewin,Defender,3.5
Herrington,Lucas Herrington,Defender,3.5
Irankunda,Nestory Irankunda,Forward,5.1
Velupillay,Nishan Velupillay,Forward,4.4
Italiano,Jacob Italiano,Defender,4.2
Ryan,Mathew Ryan,Goalkeeper,4.1
Izzo,Paul Izzo,Goalkeeper,3.6
Beach,Patrick Beach,Goalkeeper,3.5
Okon,Paul Okon,Midfielder,4.7
Metcalfe,Connor Metcalfe,Midfielder,5.3
O'Neill,Aiden O'Neill,Midfielder,5.4
Mabil,Awer Mabil,Midfielder,5.6
Hrustic,Ajdin Hrustic,Midfielder,5.7
Alaba,David Alaba,Defender,4.6
Lienhart,Philipp Lienhart,Defender,4.3
Prass,Alexander Prass,Defender,4.3
Danso,Kevin Danso,Defender,4.3
Posch,Stefan Posch,Defender,4.3
Mwene,Phillipp Mwene,Defender,3.9
Friedl,Marco Friedl,Defender,4.3
Affengruber,David Affengruber,Defender,3.9
Svoboda,Michael Svoboda,Defender,3.8
Arnautovic,Marko Arnautovic,Forward,6
Gregoritsch,Michael Gregoritsch,Forward,6
Kalajdzic,Sasa Kalajdzic,Forward,6
Alexander Schlager,Alexander Schlager,Goalkeeper,4.6
Pentz,Patrick Pentz,Goalkeeper,4.6
Wiegele,Florian Wiegele,Goalkeeper,3.5
Chukwuemeka,Carney Chukwuemeka,Midfielder,5
Laimer,Konrad Laimer,Midfielder,5.8
Schöpf,Alessandro Schöpf,Midfielder,5.3
Grillitsch,Florian Grillitsch,Midfielder,5.5
Seiwald,Nicolas Seiwald,Midfielder,5.6
Sabitzer,Marcel Sabitzer,Midfielder,6.8
Schmid,Romano Schmid,Midfielder,6
Wimmer,Patrick Wimmer,Midfielder,6
Wanner,Paul Wanner,Midfielder,5.6
Xaver Schlager,Xaver Schlager,Midfielder,5.5
De Cuyper,Maxim De Cuyper,Defender,4.7
Castagne,Timothy Castagne,Defender,4.7
Theate,Arthur Theate,Defender,4.5
Meunier,Thomas Meunier,Defender,4.8
Debast,Zeno Debast,Defender,4.3
Witsel,Axel Witsel,Midfielder,5
De Winter,Koni De Winter,Defender,4.2
Mechele,Brandon Mechele,Defender,3.9
Seys,Joaquin Seys,Defender,3.9
Ngoy,Nathan Ngoy,Defender,3.7
Lukaku,Romelu Lukaku,Forward,7.4
Doku,Jérémy Doku,Midfielder,7.5
Lukébakio,Dodi Lukébakio,Forward,5.9
Saelemaekers,Alexis Saelemaekers,Midfielder,5.7
De Ketelaere,Charles De Ketelaere,Midfielder,5.6
Lammens,Senne Lammens,Goalkeeper,4.6
Raskin,Nicolas Raskin,Midfielder,5.3
Onana,Amadou Onana,Midfielder,5.9
Tielemans,Youri Tielemans,Midfielder,6.1
De Bruyne,Kevin De Bruyne,Midfielder,7.5
Kolasinac,Sead Kolasinac,Defender,4.3
Dedic,Amar Dedic,Defender,4.3
