name,country,position,team_slug
Dayne ST. CLAIR,Canada,Goalkeeper,canada
Maxime CREPEAU,Canada,Goalkeeper,canada
Owen GOODMAN,Canada,Goalkeeper,canada
Alistair JOHNSTON,Canada,Defender,canada
Alfie JONES,Canada,Defender,canada
Luc DE FOUGEROLLES,Canada,Defender,canada
Joel WATERMAN,Canada,Defender,canada
Derek CORNELIUS,Canada,Defender,canada
Moise BOMBITO,Canada,Defender,canada
Alphonso DAVIES,Canada,Defender,canada
Richie LARYEA,Canada,Defender,canada
Niko SIGUR,Canada,Defender,canada
Mathieu CHOINIERE,Canada,Midfielder,canada
Stephen EUSTAQUIO,Canada,Midfielder,canada
Ismael KONE,Canada,Midfielder,canada
Liam MILLAR,Canada,Midfielder,canada
Jacob SHAFFELBURG,Canada,Midfielder,canada
Jonathan OSORIO,Canada,Midfielder,canada
Nathan SALIBA,Canada,Midfielder,canada
Marcelo FLORES,Canada,Midfielder,canada
Cyle LARIN,Canada,Forward,canada
Jonathan DAVID,Canada,Forward,canada
Tani OLUWASEYI,Canada,Forward,canada
Tajon BUCHANAN,Canada,Forward,canada
Ali AHMED,Canada,Forward,canada
Promise DAVID,Canada,Forward,canada
Raul RANGEL,Mexico,Goalkeeper,mexico
Carlos ACEVEDO,Mexico,Goalkeeper,mexico
Guillermo OCHOA,Mexico,Goalkeeper,mexico
Jorge SANCHEZ,Mexico,Defender,mexico
Cesar MONTES,Mexico,Defender,mexico
Edson ALVAREZ,Mexico,Defender,mexico
Johan VASQUEZ,Mexico,Defender,mexico
Israel REYES,Mexico,Defender,mexico
Mateo CHAVEZ,Mexico,Defender,mexico
Jesus GALLARDO,Mexico,Defender,mexico
Erik LIRA,Mexico,Midfielder,mexico
Luis ROMO,Mexico,Midfielder,mexico
Alvaro FIDALGO,Mexico,Midfielder,mexico
Orbelin PINEDA,Mexico,Midfielder,mexico
Obed VARGAS,Mexico,Midfielder,mexico
Gilberto MORA,Mexico,Midfielder,mexico
Luis CHAVEZ,Mexico,Midfielder,mexico
Brian GUTIERREZ,Mexico,Midfielder,mexico
Raul JIMENEZ,Mexico,Forward,mexico
Alexis VEGA,Mexico,Forward,mexico
Santiago GIMENEZ,Mexico,Forward,mexico
Armando GONZALEZ,Mexico,Forward,mexico
Julian QUINONES,Mexico,Forward,mexico
Cesar HUERTA,Mexico,Forward,mexico
Guillermo MARTINEZ,Mexico,Forward,mexico
Roberto ALVARADO,Mexico,Forward,mexico
Matt TURNER,USA,Goalkeeper,usa
Matt FREESE,USA,Goalkeeper,usa
Chris BRADY,USA,Goalkeeper,usa
Sergino DEST,USA,Defender,usa
Chris RICHARDS,USA,Defender,usa
Antonee ROBINSON,USA,Defender,usa
Auston TRUSTY,USA,Defender,usa
Miles ROBINSON,USA,Defender,usa
Tim REAM,USA,Defender,usa
Alex FREEMAN,USA,Defender,usa
Max ARFSTEN,USA,Defender,usa
Mark McKENZIE,USA,Defender,usa
Joe SCALLY,USA,Defender,usa
Tyler ADAMS,USA,Midfielder,usa
Giovanni REYNA,USA,Midfielder,usa
Weston McKENNIE,USA,Midfielder,usa
Sebastian BERHALTER,USA,Midfielder,usa
Cristian ROLDAN,USA,Midfielder,usa
Malik TILLMAN,USA,Midfielder,usa
Ricardo PEPI,USA,Forward,usa
Christian PULISIC,USA,Forward,usa
Brenden AARONSON,USA,Forward,usa
Haji WRIGHT,USA,Forward,usa
Folarin BALOGUN,USA,Forward,usa
Timothy WEAH,USA,Forward,usa
Alex ZENDEJAS,USA,Forward,usa
Melvin MASTIL,Algeria,Goalkeeper,algeria
Oussama BENBOT,Algeria,Goalkeeper,algeria
Luca ZIDANE,Algeria,Goalkeeper,algeria
Aissa MANDI,Algeria,Defender,algeria
Achraf ABADA,Algeria,Defender,algeria
Mohamed Amine TOUGAI,Algeria,Defender,algeria
Zineddine BELAID,Algeria,Defender,algeria
Jaouen HADJAM,Algeria,Defender,algeria
Rayan AIT-NOURI,Algeria,Defender,algeria
Rafik BELGHALI,Algeria,Defender,algeria
Ramy BENSEBAINI,Algeria,Defender,algeria
Samir CHERGUI,Algeria,Defender,algeria
Ramiz ZERROUKI,Algeria,Midfielder,algeria
Houssem Aouar,Algeria,Midfielder,algeria
Fares CHAIBI,Algeria,Midfielder,algeria
Hicham BOUDAOUI,Algeria,Midfielder,algeria
Nabil Bentaleb,Algeria,Midfielder,algeria
Ibrahim MAZA,Algeria,Midfielder,algeria
Yassine TITRAOUI,Algeria,Midfielder,algeria
Riyad Mahrez,Algeria,Forward,algeria
Amine GOUIRI,Algeria,Forward,algeria
Anis HADJ MOUSSA,Algeria,Forward,algeria
Nadhir BENBOUALI,Algeria,Forward,algeria
Mohamed AMOURA,Algeria,Forward,algeria
Adil BOULBINA,Algeria,Forward,algeria
Fares GHEDJEMIS,Algeria,Forward,algeria
Juan MUSSO,Argentina,Goalkeeper,argentina
Geronimo RULLI,Argentina,Goalkeeper,argentina
Emiliano MARTINEZ,Argentina,Goalkeeper,argentina
Leonardo BALERDI,Argentina,Defender,argentina
Nicolas TAGLIAFICO,Argentina,Defender,argentina
Gonzalo MONTIEL,Argentina,Defender,argentina
Lisandro MARTINEZ,Argentina,Defender,argentina
Cristian ROMERO,Argentina,Defender,argentina
Nicolas OTAMENDI,Argentina,Defender,argentina
Facundo MEDINA,Argentina,Defender,argentina
Nahuel MOLINA,Argentina,Defender,argentina
Leandro PAREDES,Argentina,Midfielder,argentina
Rodrigo DE PAUL,Argentina,Midfielder,argentina
Valentin BARCO,Argentina,Midfielder,argentina
Giovani Lo Celso,Argentina,Midfielder,argentina
Exequiel PALACIOS,Argentina,Midfielder,argentina
Nico GONZALEZ,Argentina,Midfielder,argentina
Alexis MAC ALLISTER,Argentina,Midfielder,argentina
Enzo FERNANDEZ,Argentina,Midfielder,argentina
Julian ALVAREZ,Argentina,Forward,argentina
Lionel MESSI,Argentina,Forward,argentina
Thiago ALMADA,Argentina,Forward,argentina
Giuliano SIMEONE,Argentina,Forward,argentina
Nico PAZ,Argentina,Forward,argentina
Jose Manuel LOPEZ,Argentina,Forward,argentina
Lautaro MARTINEZ,Argentina,Forward,argentina
Mathew RYAN,Australia,Goalkeeper,australia
Paul Izzo,Australia,Goalkeeper,australia
Patrick BEACH,Australia,Goalkeeper,australia
Milos DEGENEK,Australia,Defender,australia
Alessandro CIRCATI,Australia,Defender,australia
Jacob ITALIANO,Australia,Defender,australia
Jordan BOS,Australia,Defender,australia
Jason GERIA,Australia,Defender,australia
Kai TREWIN,Australia,Defender,australia
Aziz BEHICH,Australia,Defender,australia
Harry SOUTTAR,Australia,Defender,australia
Cameron BURGESS,Australia,Defender,australia
Lucas HERRINGTON,Australia,Defender,australia
Connor METCALFE,Australia,Midfielder,australia
Aiden ONEILL,Australia,Midfielder,australia
Cameron DEVLIN,Australia,Midfielder,australia
Jackson IRVINE,Australia,Midfielder,australia
Paul OKON-ENGSTLER,Australia,Midfielder,australia
Mathew LECKIE,Australia,Forward,australia
Mohamed TOURE,Australia,Forward,australia
Ajdin HRUSTIC,Australia,Forward,australia
Awer MABIL,Australia,Forward,australia
Nestory IRANKUNDA,Australia,Forward,australia
Cristian VOLPATO,Australia,Forward,australia
Nishan VELUPILLAY,Australia,Forward,australia
Tete YENGI,Australia,Forward,australia
Alexander SCHLAGER,Austria,Goalkeeper,austria
Florian WIEGELE,Austria,Goalkeeper,austria
Patrick PENTZ,Austria,Goalkeeper,austria
David AFFENGRUBER,Austria,Defender,austria
Kevin Danso,Austria,Defender,austria
Stefan POSCH,Austria,Defender,austria
David ALABA,Austria,Defender,austria
Philipp Lienhart,Austria,Defender,austria
Phillip MWENE,Austria,Defender,austria
Marco FRIEDL,Austria,Defender,austria
Michael SVOBODA,Austria,Defender,austria
Xaver Schlager,Austria,Midfielder,austria
Nicolas SEIWALD,Austria,Midfielder,austria
Marcel SABITZER,Austria,Midfielder,austria
Florian GRILLITSCH,Austria,Midfielder,austria
Carney CHUKWUEMEKA,Austria,Midfielder,austria
Romano SCHMID,Austria,Midfielder,austria
Christoph BAUMGARTNER,Austria,Midfielder,austria
Konrad LAIMER,Austria,Midfielder,austria
Alexander PRASS,Austria,Midfielder,austria
Paul WANNER,Austria,Midfielder,austria
Alessandro SCHOEPF,Austria,Midfielder,austria
Marko ARNAUTOVIC,Austria,Forward,austria
Michael Gregoritsch,Austria,Forward,austria
Sasa KALAJDZIC,Austria,Forward,austria
Patrick WIMMER,Austria,Forward,austria
Thibaut COURTOIS,Belgium,Goalkeeper,belgium
Senne LAMMENS,Belgium,Goalkeeper,belgium
Mike PENDERS,Belgium,Goalkeeper,belgium
Zeno DEBAST,Belgium,Defender,belgium
Arthur THEATE,Belgium,Defender,belgium
Brandon MECHELE,Belgium,Defender,belgium
Maxim DE CUYPER,Belgium,Defender,belgium
Thomas MEUNIER,Belgium,Defender,belgium
Koni DE WINTER,Belgium,Defender,belgium
Joaquin SEYS,Belgium,Defender,belgium
Timothy CASTAGNE,Belgium,Defender,belgium
Nathan NGOY,Belgium,Defender,belgium
Axel WITSEL,Belgium,Midfielder,belgium
Kevin DE BRUYNE,Belgium,Midfielder,belgium
Youri TIELEMANS,Belgium,Midfielder,belgium
Diego MOREIRA,Belgium,Midfielder,belgium
Hans VANAKEN,Belgium,Midfielder,belgium
Alexis SAELEMAEKERS,Belgium,Midfielder,belgium
Nicolas RASKIN,Belgium,Midfielder,belgium
Amadou ONANA,Belgium,Midfielder,belgium
Romelu LUKAKU,Belgium,Forward,belgium
Leandro TROSSARD,Belgium,Forward,belgium
Jeremy DOKU,Belgium,Forward,belgium
Dodi LUKEBAKIO,Belgium,Forward,belgium
Charles DE KETELAERE,Belgium,Forward,belgium
Matias FERNANDEZ-PARDO,Belgium,Forward,belgium
Nikola VASILJ,Bosnia and Herzegovina,Goalkeeper,bosnia-herzegovina
Mladen JURKAS,Bosnia and Herzegovina,Goalkeeper,bosnia-herzegovina
Martin ZLOMISLIC,Bosnia and Herzegovina,Goalkeeper,bosnia-herzegovina
